Arbitrage Opportunity: Chain = [('ETHTRY', 'sell'), ('ARBTRY', 'buy'), ('ARBETH', 'sell')], Profit Ratio = 1.0037
Arbitrage Opportunity: Chain = [('ENABTC', 'buy'), ('ENAUSDC', 'sell'), ('BTCUSDC', 'buy')], Profit Ratio = 1.0074
Arbitrage Opportunity: Chain = [('ENABTC', 'buy'), ('ENAUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0077
Arbitrage Opportunity: Chain = [('ENABTC', 'buy'), ('ENATRY', 'sell'), ('BTCTRY', 'buy')], Profit Ratio = 1.0073
Arbitrage Opportunity: Chain = [('ENABTC', 'buy'), ('ENAFDUSD', 'sell'), ('BTCFDUSD', 'buy')], Profit Ratio = 1.0085
Arbitrage Opportunity: Chain = [('ZILBTC', 'buy'), ('ZILUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0170
Arbitrage Opportunity: Chain = [('ZILBTC', 'buy'), ('ZILETH', 'sell'), ('ETHBTC', 'sell')], Profit Ratio = 1.0115
Arbitrage Opportunity: Chain = [('ZILBTC', 'buy'), ('ZILTRY', 'sell'), ('BTCTRY', 'buy')], Profit Ratio = 1.0154
Arbitrage Opportunity: Chain = [('CELOBTC', 'buy'), ('CELOUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0044
Arbitrage Opportunity: Chain = [('ZKBTC', 'buy'), ('ZKUSDC', 'sell'), ('BTCUSDC', 'buy')], Profit Ratio = 1.0048
Arbitrage Opportunity: Chain = [('ZKBTC', 'buy'), ('ZKUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0063
Arbitrage Opportunity: Chain = [('ZKBTC', 'buy'), ('ZKTRY', 'sell'), ('BTCTRY', 'buy')], Profit Ratio = 1.0031
Arbitrage Opportunity: Chain = [('ZKBTC', 'buy'), ('ZKFDUSD', 'sell'), ('BTCFDUSD', 'buy')], Profit Ratio = 1.0059
Arbitrage Opportunity: Chain = [('AVABTC', 'buy'), ('AVAUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0056
Arbitrage Opportunity: Chain = [('SAGABTC', 'buy'), ('SAGAUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0022
Arbitrage Opportunity: Chain = [('SAGABTC', 'buy'), ('SAGABNB', 'sell'), ('BNBBTC', 'sell')], Profit Ratio = 1.0028
Arbitrage Opportunity: Chain = [('ZENBTC', 'buy'), ('ZENUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0045
Arbitrage Opportunity: Chain = [('CELRBTC', 'buy'), ('CELRUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0397
Arbitrage Opportunity: Chain = [('USUALBTC', 'buy'), ('USUALUSDC', 'sell'), ('BTCUSDC', 'buy')], Profit Ratio = 1.0051
Arbitrage Opportunity: Chain = [('USUALBTC', 'buy'), ('USUALUSDT', 'sell'), ('BTCUSDT', 'buy')], Profit Ratio = 1.0068
Arbitrage Opportunity: Chain = [('USUALBTC', 'buy'), ('USUALTRY', 'sell'), ('BTCTRY', 'buy')], Profit Ratio = 1.0064
Arbitrage Opportunity: Chain = [('USUALBTC', 'buy'), ('USUALFDUSD', 'sell'), ('BTCFDUSD', 'buy')], Profit Ratio = 1.0049
Arbitrage Opportunity: Chain = [('SHELLBNB', 'buy'), ('SHELLBTC', 'sell'), ('BNBBTC', 'buy')], Profit Ratio = 1.0044
Arbitrage Opportunity: Chain = [('SHELLBNB', 'buy'), ('SHELLUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0083
Arbitrage Opportunity: Chain = [('SHELLBNB', 'buy'), ('SHELLTRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0061
Arbitrage Opportunity: Chain = [('TRXBNB', 'buy'), ('WINTRX', 'buy'), ('WINBNB', 'sell')], Profit Ratio = 1.2120
Arbitrage Opportunity: Chain = [('BANANABNB', 'buy'), ('BANANABTC', 'sell'), ('BNBBTC', 'buy')], Profit Ratio = 1.0084
Arbitrage Opportunity: Chain = [('BANANABNB', 'buy'), ('BANANAUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0094
Arbitrage Opportunity: Chain = [('BANANABNB', 'buy'), ('BANANATRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0058
Arbitrage Opportunity: Chain = [('BANANABNB', 'buy'), ('BANANAFDUSD', 'sell'), ('BNBFDUSD', 'buy')], Profit Ratio = 1.0022
Arbitrage Opportunity: Chain = [('LAYERBNB', 'buy'), ('LAYERFDUSD', 'sell'), ('BNBFDUSD', 'buy')], Profit Ratio = 1.0035
Arbitrage Opportunity: Chain = [('BNBUSDT', 'sell'), ('TRXUSDT', 'buy'), ('TRXBNB', 'sell')], Profit Ratio = 1.0021
Arbitrage Opportunity: Chain = [('BNBUSDT', 'sell'), ('LAYERUSDT', 'buy'), ('LAYERBNB', 'sell')], Profit Ratio = 1.0033
Arbitrage Opportunity: Chain = [('BNBUSDT', 'sell'), ('GALAUSDT', 'buy'), ('GALABNB', 'sell')], Profit Ratio = 1.1182
Arbitrage Opportunity: Chain = [('BNBUSDT', 'sell'), ('THEUSDT', 'buy'), ('THEBNB', 'sell')], Profit Ratio = 1.3650
Arbitrage Opportunity: Chain = [('BNBUSDT', 'sell'), ('WINUSDT', 'buy'), ('WINBNB', 'sell')], Profit Ratio = 1.2124
Arbitrage Opportunity: Chain = [('NEARBNB', 'buy'), ('NEARBRL', 'sell'), ('BNBBRL', 'buy')], Profit Ratio = 1.0047
Arbitrage Opportunity: Chain = [('NEARBNB', 'buy'), ('NEARBTC', 'sell'), ('BNBBTC', 'buy')], Profit Ratio = 1.0035
Arbitrage Opportunity: Chain = [('NEARBNB', 'buy'), ('NEARUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0043
Arbitrage Opportunity: Chain = [('NEARBNB', 'buy'), ('NEAREUR', 'sell'), ('BNBEUR', 'buy')], Profit Ratio = 1.0050
Arbitrage Opportunity: Chain = [('NEARBNB', 'buy'), ('NEARETH', 'sell'), ('BNBETH', 'buy')], Profit Ratio = 1.0036
Arbitrage Opportunity: Chain = [('NEARBNB', 'buy'), ('NEARTRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0035
Arbitrage Opportunity: Chain = [('NEARBNB', 'buy'), ('NEARFDUSD', 'sell'), ('BNBFDUSD', 'buy')], Profit Ratio = 1.0043
Arbitrage Opportunity: Chain = [('BNBBTC', 'sell'), ('GALABTC', 'buy'), ('GALABNB', 'sell')], Profit Ratio = 1.1247
Arbitrage Opportunity: Chain = [('BNBBTC', 'sell'), ('MOVEBTC', 'buy'), ('MOVEBNB', 'sell')], Profit Ratio = 1.0032
Arbitrage Opportunity: Chain = [('BNBBTC', 'sell'), ('VETBTC', 'buy'), ('VETBNB', 'sell')], Profit Ratio = 1.0252
Arbitrage Opportunity: Chain = [('BNBBTC', 'sell'), ('THEBTC', 'buy'), ('THEBNB', 'sell')], Profit Ratio = 1.3762
Arbitrage Opportunity: Chain = [('BNBBTC', 'sell'), ('SAGABTC', 'buy'), ('SAGABNB', 'sell')], Profit Ratio = 1.0028
Arbitrage Opportunity: Chain = [('LPTBNB', 'buy'), ('LPTBTC', 'sell'), ('BNBBTC', 'buy')], Profit Ratio = 1.0086
Arbitrage Opportunity: Chain = [('LPTBNB', 'buy'), ('LPTUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0126
Arbitrage Opportunity: Chain = [('SBNB', 'buy'), ('SBTC', 'sell'), ('BNBBTC', 'buy')], Profit Ratio = 1.0079
Arbitrage Opportunity: Chain = [('SBNB', 'buy'), ('SUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0121
Arbitrage Opportunity: Chain = [('SBNB', 'buy'), ('SETH', 'sell'), ('BNBETH', 'buy')], Profit Ratio = 1.0104
Arbitrage Opportunity: Chain = [('SBNB', 'buy'), ('STRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0114
Arbitrage Opportunity: Chain = [('SBNB', 'buy'), ('SFDUSD', 'sell'), ('BNBFDUSD', 'buy')], Profit Ratio = 1.0118
Arbitrage Opportunity: Chain = [('LINKBNB', 'buy'), ('LINKTRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0021
Arbitrage Opportunity: Chain = [('PARTIBNB', 'buy'), ('PARTITRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0024
Arbitrage Opportunity: Chain = [('PARTIBNB', 'buy'), ('PARTIFDUSD', 'sell'), ('BNBFDUSD', 'buy')], Profit Ratio = 1.0037
Arbitrage Opportunity: Chain = [('RUNEBNB', 'buy'), ('RUNEBTC', 'sell'), ('BNBBTC', 'buy')], Profit Ratio = 1.0039
Arbitrage Opportunity: Chain = [('RUNEBNB', 'buy'), ('RUNEUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0052
Arbitrage Opportunity: Chain = [('RUNEBNB', 'buy'), ('RUNEETH', 'sell'), ('BNBETH', 'buy')], Profit Ratio = 1.0032
Arbitrage Opportunity: Chain = [('RUNEBNB', 'buy'), ('RUNEFDUSD', 'sell'), ('BNBFDUSD', 'buy')], Profit Ratio = 1.0042
Arbitrage Opportunity: Chain = [('BNBETH', 'sell'), ('TRXETH', 'buy'), ('TRXBNB', 'sell')], Profit Ratio = 1.0022
Arbitrage Opportunity: Chain = [('BNBETH', 'sell'), ('GALAETH', 'buy'), ('GALABNB', 'sell')], Profit Ratio = 1.1229
Arbitrage Opportunity: Chain = [('NILBNB', 'buy'), ('NILUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0119
Arbitrage Opportunity: Chain = [('NILBNB', 'buy'), ('NILTRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0127
Arbitrage Opportunity: Chain = [('NILBNB', 'buy'), ('NILFDUSD', 'sell'), ('BNBFDUSD', 'buy')], Profit Ratio = 1.0100
Arbitrage Opportunity: Chain = [('ALTBNB', 'buy'), ('ALTBTC', 'sell'), ('BNBBTC', 'buy')], Profit Ratio = 1.0048
Arbitrage Opportunity: Chain = [('RAYBNB', 'buy'), ('RAYUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0034
Arbitrage Opportunity: Chain = [('RAYBNB', 'buy'), ('RAYTRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0027
Arbitrage Opportunity: Chain = [('RAYBNB', 'buy'), ('RAYFDUSD', 'sell'), ('BNBFDUSD', 'buy')], Profit Ratio = 1.0030
Arbitrage Opportunity: Chain = [('BNBTRY', 'sell'), ('BMTTRY', 'buy'), ('BMTBNB', 'sell')], Profit Ratio = 1.0056
Arbitrage Opportunity: Chain = [('BNBTRY', 'sell'), ('THETRY', 'buy'), ('THEBNB', 'sell')], Profit Ratio = 1.3660
Arbitrage Opportunity: Chain = [('BNBTRY', 'sell'), ('TRXTRY', 'buy'), ('TRXBNB', 'sell')], Profit Ratio = 1.0022
Arbitrage Opportunity: Chain = [('BNBTRY', 'sell'), ('DOTTRY', 'buy'), ('DOTBNB', 'sell')], Profit Ratio = 1.0035
Arbitrage Opportunity: Chain = [('BNBTRY', 'sell'), ('PORTALTRY', 'buy'), ('PORTALBNB', 'sell')], Profit Ratio = 1.0032
Arbitrage Opportunity: Chain = [('BNBTRY', 'sell'), ('LAYERTRY', 'buy'), ('LAYERBNB', 'sell')], Profit Ratio = 1.0028
Arbitrage Opportunity: Chain = [('BNBTRY', 'sell'), ('GALATRY', 'buy'), ('GALABNB', 'sell')], Profit Ratio = 1.1202
Arbitrage Opportunity: Chain = [('BNBTRY', 'sell'), ('VETTRY', 'buy'), ('VETBNB', 'sell')], Profit Ratio = 1.0027
Arbitrage Opportunity: Chain = [('BERABNB', 'buy'), ('BERABTC', 'sell'), ('BNBBTC', 'buy')], Profit Ratio = 1.0041
Arbitrage Opportunity: Chain = [('BERABNB', 'buy'), ('BERAUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0054
Arbitrage Opportunity: Chain = [('BERABNB', 'buy'), ('BERATRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0042
Arbitrage Opportunity: Chain = [('BERABNB', 'buy'), ('BERAFDUSD', 'sell'), ('BNBFDUSD', 'buy')], Profit Ratio = 1.0046
Arbitrage Opportunity: Chain = [('GUNBNB', 'buy'), ('GUNTRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0084
Arbitrage Opportunity: Chain = [('GUNBNB', 'buy'), ('GUNUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0100
Arbitrage Opportunity: Chain = [('AXSBNB', 'buy'), ('AXSBTC', 'sell'), ('BNBBTC', 'buy')], Profit Ratio = 1.0086
Arbitrage Opportunity: Chain = [('AXSBNB', 'buy'), ('AXSUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0076
Arbitrage Opportunity: Chain = [('AXSBNB', 'buy'), ('AXSTRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0081
Arbitrage Opportunity: Chain = [('AXSBNB', 'buy'), ('AXSETH', 'sell'), ('BNBETH', 'buy')], Profit Ratio = 1.0086
Arbitrage Opportunity: Chain = [('BNBEUR', 'sell'), ('WINEUR', 'buy'), ('WINBNB', 'sell')], Profit Ratio = 1.2125
Arbitrage Opportunity: Chain = [('BNBEUR', 'sell'), ('GALAEUR', 'buy'), ('GALABNB', 'sell')], Profit Ratio = 1.1249
Arbitrage Opportunity: Chain = [('CYBERBNB', 'buy'), ('CYBERUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0052
Arbitrage Opportunity: Chain = [('CYBERBNB', 'buy'), ('CYBERETH', 'sell'), ('BNBETH', 'buy')], Profit Ratio = 1.0024
Arbitrage Opportunity: Chain = [('CYBERBNB', 'buy'), ('CYBERTRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0044
Arbitrage Opportunity: Chain = [('PENGUBNB', 'buy'), ('PENGUUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0022
Arbitrage Opportunity: Chain = [('PENGUBNB', 'buy'), ('PENGUTRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0020
Arbitrage Opportunity: Chain = [('PENGUBNB', 'buy'), ('PENGUFDUSD', 'sell'), ('BNBFDUSD', 'buy')], Profit Ratio = 1.0108
Arbitrage Opportunity: Chain = [('VANABNB', 'buy'), ('VANAUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0045
Arbitrage Opportunity: Chain = [('VANABNB', 'buy'), ('VANATRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0040
Arbitrage Opportunity: Chain = [('VANABNB', 'buy'), ('VANAFDUSD', 'sell'), ('BNBFDUSD', 'buy')], Profit Ratio = 1.0102
Arbitrage Opportunity: Chain = [('FETBNB', 'buy'), ('FETUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0022
Arbitrage Opportunity: Chain = [('FETBNB', 'buy'), ('FETFDUSD', 'sell'), ('BNBFDUSD', 'buy')], Profit Ratio = 1.0025
Arbitrage Opportunity: Chain = [('NTRNBNB', 'buy'), ('NTRNUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0031
Arbitrage Opportunity: Chain = [('EGLDBNB', 'buy'), ('EGLDUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0045
Arbitrage Opportunity: Chain = [('EGLDBNB', 'buy'), ('EGLDETH', 'sell'), ('BNBETH', 'buy')], Profit Ratio = 1.0050
Arbitrage Opportunity: Chain = [('STXBNB', 'buy'), ('STXUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0046
Arbitrage Opportunity: Chain = [('ANIMEBNB', 'buy'), ('ANIMEUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0064
Arbitrage Opportunity: Chain = [('ANIMEBNB', 'buy'), ('ANIMETRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0054
Arbitrage Opportunity: Chain = [('ANIMEBNB', 'buy'), ('ANIMEFDUSD', 'sell'), ('BNBFDUSD', 'buy')], Profit Ratio = 1.0039
Arbitrage Opportunity: Chain = [('KAITOBNB', 'buy'), ('KAITOBRL', 'sell'), ('BNBBRL', 'buy')], Profit Ratio = 1.0132
Arbitrage Opportunity: Chain = [('KAITOBNB', 'buy'), ('KAITOUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0022
Arbitrage Opportunity: Chain = [('KAITOBNB', 'buy'), ('KAITOFDUSD', 'sell'), ('BNBFDUSD', 'buy')], Profit Ratio = 1.0021
Arbitrage Opportunity: Chain = [('BNBJPY', 'sell'), ('NEARJPY', 'buy'), ('NEARBNB', 'sell')], Profit Ratio = 1.0161
Arbitrage Opportunity: Chain = [('BNBJPY', 'sell'), ('LINKJPY', 'buy'), ('LINKBNB', 'sell')], Profit Ratio = 1.0059
Arbitrage Opportunity: Chain = [('BNBJPY', 'sell'), ('POLJPY', 'buy'), ('POLBNB', 'sell')], Profit Ratio = 1.0063
Arbitrage Opportunity: Chain = [('BNBJPY', 'sell'), ('SEIJPY', 'buy'), ('SEIBNB', 'sell')], Profit Ratio = 1.0038
Arbitrage Opportunity: Chain = [('BNBBRL', 'sell'), ('ADABRL', 'buy'), ('ADABNB', 'sell')], Profit Ratio = 1.0052
Arbitrage Opportunity: Chain = [('BNBBRL', 'sell'), ('LINKBRL', 'buy'), ('LINKBNB', 'sell')], Profit Ratio = 1.0076
Arbitrage Opportunity: Chain = [('BNBBRL', 'sell'), ('GALABRL', 'buy'), ('GALABNB', 'sell')], Profit Ratio = 1.1235
Arbitrage Opportunity: Chain = [('BNBBRL', 'sell'), ('AVAXBRL', 'buy'), ('AVAXBNB', 'sell')], Profit Ratio = 1.0035
Arbitrage Opportunity: Chain = [('BNBFDUSD', 'sell'), ('GUNFDUSD', 'buy'), ('GUNBNB', 'sell')], Profit Ratio = 1.0038
Arbitrage Opportunity: Chain = [('BNBFDUSD', 'sell'), ('BBFDUSD', 'buy'), ('BBBNB', 'sell')], Profit Ratio = 1.0029
Arbitrage Opportunity: Chain = [('BNBFDUSD', 'sell'), ('THEFDUSD', 'buy'), ('THEBNB', 'sell')], Profit Ratio = 1.3825
Arbitrage Opportunity: Chain = [('BNBFDUSD', 'sell'), ('SOLVFDUSD', 'buy'), ('SOLVBNB', 'sell')], Profit Ratio = 1.0048
Arbitrage Opportunity: Chain = [('BNBFDUSD', 'sell'), ('GPSFDUSD', 'buy'), ('GPSBNB', 'sell')], Profit Ratio = 1.0027
Arbitrage Opportunity: Chain = [('BNBFDUSD', 'sell'), ('ARKMFDUSD', 'buy'), ('ARKMBNB', 'sell')], Profit Ratio = 1.0080
Arbitrage Opportunity: Chain = [('BNBFDUSD', 'sell'), ('BIOFDUSD', 'buy'), ('BIOBNB', 'sell')], Profit Ratio = 1.0116
Arbitrage Opportunity: Chain = [('BNBFDUSD', 'sell'), ('PORTALFDUSD', 'buy'), ('PORTALBNB', 'sell')], Profit Ratio = 1.0022
Arbitrage Opportunity: Chain = [('BNBFDUSD', 'sell'), ('1000CATFDUSD', 'buy'), ('1000CATBNB', 'sell')], Profit Ratio = 1.0170
Arbitrage Opportunity: Chain = [('BNBFDUSD', 'sell'), ('STXFDUSD', 'buy'), ('STXBNB', 'sell')], Profit Ratio = 1.0022
Arbitrage Opportunity: Chain = [('BNBFDUSD', 'sell'), ('MOVEFDUSD', 'buy'), ('MOVEBNB', 'sell')], Profit Ratio = 1.0055
Arbitrage Opportunity: Chain = [('BNBFDUSD', 'sell'), ('GALAFDUSD', 'buy'), ('GALABNB', 'sell')], Profit Ratio = 1.1189
Arbitrage Opportunity: Chain = [('BNBFDUSD', 'sell'), ('ALTFDUSD', 'buy'), ('ALTBNB', 'sell')], Profit Ratio = 1.0092
Arbitrage Opportunity: Chain = [('BNBFDUSD', 'sell'), ('SAGAFDUSD', 'buy'), ('SAGABNB', 'sell')], Profit Ratio = 1.0098
Arbitrage Opportunity: Chain = [('ETCBNB', 'buy'), ('ETCBTC', 'sell'), ('BNBBTC', 'buy')], Profit Ratio = 1.0025
Arbitrage Opportunity: Chain = [('ETCBNB', 'buy'), ('ETCUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0031
Arbitrage Opportunity: Chain = [('ETCBNB', 'buy'), ('ETCETH', 'sell'), ('BNBETH', 'buy')], Profit Ratio = 1.0026
Arbitrage Opportunity: Chain = [('ETCBNB', 'buy'), ('ETCFDUSD', 'sell'), ('BNBFDUSD', 'buy')], Profit Ratio = 1.0030
Arbitrage Opportunity: Chain = [('IOBNB', 'buy'), ('IOUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0036
Arbitrage Opportunity: Chain = [('IOBNB', 'buy'), ('IOTRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0041
Arbitrage Opportunity: Chain = [('BIOBNB', 'buy'), ('BIOUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0076
Arbitrage Opportunity: Chain = [('BIOBNB', 'buy'), ('BIOTRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0063
Arbitrage Opportunity: Chain = [('SEIBNB', 'buy'), ('SEIBTC', 'sell'), ('BNBBTC', 'buy')], Profit Ratio = 1.0033
Arbitrage Opportunity: Chain = [('SEIBNB', 'buy'), ('SEIUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0052
Arbitrage Opportunity: Chain = [('SEIBNB', 'buy'), ('SEITRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0020
Arbitrage Opportunity: Chain = [('SEIBNB', 'buy'), ('SEIFDUSD', 'sell'), ('BNBFDUSD', 'buy')], Profit Ratio = 1.0050
Arbitrage Opportunity: Chain = [('CHZBNB', 'buy'), ('CHZBTC', 'sell'), ('BNBBTC', 'buy')], Profit Ratio = 1.0107
Arbitrage Opportunity: Chain = [('CHZBNB', 'buy'), ('CHZUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0049
Arbitrage Opportunity: Chain = [('CHZBNB', 'buy'), ('CHZTRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0041
Arbitrage Opportunity: Chain = [('CAKEBNB', 'buy'), ('CAKEUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0028
Arbitrage Opportunity: Chain = [('1000CATBNB', 'buy'), ('1000CATUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0027
Arbitrage Opportunity: Chain = [('BNBARS', 'sell'), ('SOLARS', 'buy'), ('SOLBNB', 'sell')], Profit Ratio = 1.0037
Arbitrage Opportunity: Chain = [('LISTABNB', 'buy'), ('LISTAUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0081
Arbitrage Opportunity: Chain = [('LISTABNB', 'buy'), ('LISTATRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0070
Arbitrage Opportunity: Chain = [('LISTABNB', 'buy'), ('LISTAFDUSD', 'sell'), ('BNBFDUSD', 'buy')], Profit Ratio = 1.0037
Arbitrage Opportunity: Chain = [('BNBUSDC', 'sell'), ('THEUSDC', 'buy'), ('THEBNB', 'sell')], Profit Ratio = 1.3810
Arbitrage Opportunity: Chain = [('BNBUSDC', 'sell'), ('TRXUSDC', 'buy'), ('TRXBNB', 'sell')], Profit Ratio = 1.0022
Arbitrage Opportunity: Chain = [('BNBUSDC', 'sell'), ('LAYERUSDC', 'buy'), ('LAYERBNB', 'sell')], Profit Ratio = 1.0030
Arbitrage Opportunity: Chain = [('BNBUSDC', 'sell'), ('ARKMUSDC', 'buy'), ('ARKMBNB', 'sell')], Profit Ratio = 1.0021
Arbitrage Opportunity: Chain = [('BNBUSDC', 'sell'), ('GALAUSDC', 'buy'), ('GALABNB', 'sell')], Profit Ratio = 1.1190
Arbitrage Opportunity: Chain = [('BBBNB', 'buy'), ('BBUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0024
Arbitrage Opportunity: Chain = [('BBBNB', 'buy'), ('BBTRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0026
Arbitrage Opportunity: Chain = [('POLBNB', 'buy'), ('POLBTC', 'sell'), ('BNBBTC', 'buy')], Profit Ratio = 1.0025
Arbitrage Opportunity: Chain = [('POLBNB', 'buy'), ('POLUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0027
Arbitrage Opportunity: Chain = [('POLBNB', 'buy'), ('POLTRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0031
Arbitrage Opportunity: Chain = [('POLBNB', 'buy'), ('POLETH', 'sell'), ('BNBETH', 'buy')], Profit Ratio = 1.0049
Arbitrage Opportunity: Chain = [('POLBNB', 'buy'), ('POLFDUSD', 'sell'), ('BNBFDUSD', 'buy')], Profit Ratio = 1.0033
Arbitrage Opportunity: Chain = [('INJBNB', 'buy'), ('INJBTC', 'sell'), ('BNBBTC', 'buy')], Profit Ratio = 1.0069
Arbitrage Opportunity: Chain = [('INJBNB', 'buy'), ('INJUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0070
Arbitrage Opportunity: Chain = [('INJBNB', 'buy'), ('INJETH', 'sell'), ('BNBETH', 'buy')], Profit Ratio = 1.0056
Arbitrage Opportunity: Chain = [('INJBNB', 'buy'), ('INJTRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0065
Arbitrage Opportunity: Chain = [('INJBNB', 'buy'), ('INJFDUSD', 'sell'), ('BNBFDUSD', 'buy')], Profit Ratio = 1.0062
Arbitrage Opportunity: Chain = [('AIBNB', 'buy'), ('AIBTC', 'sell'), ('BNBBTC', 'buy')], Profit Ratio = 1.0069
Arbitrage Opportunity: Chain = [('AIBNB', 'buy'), ('AIUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0158
Arbitrage Opportunity: Chain = [('AIBNB', 'buy'), ('AITRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0172
Arbitrage Opportunity: Chain = [('AIBNB', 'buy'), ('AIFDUSD', 'sell'), ('BNBFDUSD', 'buy')], Profit Ratio = 1.0165
Arbitrage Opportunity: Chain = [('BCHBNB', 'buy'), ('BCHUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0042
Arbitrage Opportunity: Chain = [('BCHBNB', 'buy'), ('BCHEUR', 'sell'), ('BNBEUR', 'buy')], Profit Ratio = 1.0024
Arbitrage Opportunity: Chain = [('BCHBNB', 'buy'), ('BCHFDUSD', 'sell'), ('BNBFDUSD', 'buy')], Profit Ratio = 1.0029
Arbitrage Opportunity: Chain = [('ENABNB', 'buy'), ('ENABRL', 'sell'), ('BNBBRL', 'buy')], Profit Ratio = 1.0088
Arbitrage Opportunity: Chain = [('ENABNB', 'buy'), ('ENAUSDT', 'sell'), ('BNBUSDT', 'buy')], Profit Ratio = 1.0086
Arbitrage Opportunity: Chain = [('ENABNB', 'buy'), ('ENATRY', 'sell'), ('BNBTRY', 'buy')], Profit Ratio = 1.0080
Arbitrage Opportunity: Chain = [('ENABNB', 'buy'), ('ENAFDUSD', 'sell'), ('BNBFDUSD', 'buy')], Profit Ratio = 1.0095
Arbitrage Opportunity: Chain = [('CTKBNB', 'buy'), ('CTKBTC', 'sell'), ('BNBBTC', 'buy')], Profit Ratio = 1.0036
